SubjectID,Task,condition,gender,age,lang,langother,effort,difficult,tired,frustrated
1,E,1,2,19,1, ,2,1,6,1
2,E,1,1,19,1, ,5,3,4,2
3,E,1,2,19,1, ,5,1,2,1
5,E,1,2,19,2,Duits,2,3,5,1
6,E,1,2,18,1, ,3,2,3,1
8,E,1,2,22,1, ,2,2,3,2
9,E,1,1,18,1, ,2,3,5,1
10,E,1,2,19,1, ,4,3,2,1
11,E,1,2,23,1, ,2,4,2,3
14,E,1,2,19,1, ,2,2,6,4
16,E,1,2,19,1, ,3,1,4,2
17,E,1,2,18,1, ,2,3,4,2
21,E,1,2,18,1, ,6,2,6,4
22,E,1,2,19,1, ,3,3,5,2
23,E,1,1,24,2,turks,3,3,2,2
25,E,1,2,20,1, ,3,1,1,1
26,E,1,2,22,1, ,3,1,4,1
28,E,1,2,22,1, ,5,2,4,1
30,E,1,2,21,1, ,2,2,4,4
32,E,1,2,20,1, ,5,3,6,2
34,E,1,2,20,1, ,6,4,5,2
39,E,1,2,19,1, ,3,2,6,3
45,E,1,2,21,2,Engels,4,4,5,3
48,E,1,2,20,1, ,6,2,7,1
50,E,1,2,20,1, ,4,2,6,1
53,E,1,2,20,1, ,6,3,2,1
54,E,1,2,21,1, ,1,1,5,1
55,E,1,2,24,1, ,5,2,6,2
56,E,1,2,18,1, ,6,2,5,3
58,E,1,2,19,2,Bosnisch,5,4,4,4
62,E,1,2,18,1, ,2,1,5,1
68,E,1,2,19,1, ,4,2,5,1
69,E,1,2,19,1, ,4,3,6,1
70,E,1,2,18,1, ,5,5,6,3
71,E,1,2,20,1, ,2,2,2,2
73,E,1,1,22,1, ,3,2,5,4
79,E,1,1,20,1, ,3,2,2,2
80,E,1,2,20,1, ,3,1,2,1
81,E,1,1,19,1, ,3,2,5,2
82,E,1,2,17,1, ,5,2,5,1
83,E,1,2,24,1, ,5,2,2,1
85,E,1,2,18,1, ,2,2,5,2
89,E,1,1,21,1, ,1,1,3,1
91,E,1,2,20,1, ,5,2,5,3
93,E,1,2,18,1, ,5,3,6,1
94,E,1,2,19,1, ,3,1,6,5
96,E,1,2,19,1, ,2,2,5,1
97,E,1,2,19,1, ,5,3,5,4
98,E,1,1,18,1, ,4,3,5,5
100,E,1,2,19,1, ,5,2,4,4
102,E,1,2,17,1, ,4,2,4,1
106,E,1,2,19,1, ,2,2,1,1
107,E,1,2,19,1, ,3,2,4,2
108,E,1,2,20,1, ,1,1,2,1
110,E,1,2,18,1, ,5,2,7,6
111,E,1,2,18,1, ,6,2,2,2
113,E,1,2,20,1, ,3,3,5,4
115,E,1,2,21,1, ,5,3,5,2
116,E,1,2,19,1, ,5,2,5,1
122,E,1,1,18,1, ,2,1,3,1
123,E,1,2,22,1, ,6,2,2,1
124,E,1,2,18,1, ,6,3,1,1
126,E,1,2,22,2,Turks,4,2,3,2
128,E,1,2,20,1, ,6,1,1,1
129,E,1,2,21,1, ,6,5,4,5
130,E,1,2,21,1, ,6,3,5,1
131,E,1,2,20,1, ,3,2,5,1
134,E,1,2,18,1, ,3,2,4,5
135,E,1,1,22,1, ,2,2,5,3
137,E,1,1,20,1, ,5,3,3,3
142,E,1,2,19,1, ,3,3,1,1
143,E,1,2,18,1, ,2,2,6,1
144,E,1,2,21,2,duits,2,1,4,1
146,E,1,2,20,1, ,4,3,3,4
148,E,1,2,20,2,duits,6,2,1,2
202,E,1,1,23,1, ,6,2,2,2
204,E,1,1,19,1, ,2,2,3,3
208,E,1,1,19,1, ,2,1,4,2
209,E,1,2,19,1, , , , , 
213,E,1,2,18,1, ,3,3,4,1
4,H,2,2,19,2,Turks,6,3,4,1
7,H,2,2,20,1, , , , , 
12,H,2,1,20,1, ,5,2,5,5
13,H,2,2,23,1, ,6,5,2,1
15,H,2,2,18,1, ,6,6,5,5
18,H,2,2,18,1, ,6,5,3,3
19,H,2,1,20,1, ,3,4,5,5
20,H,2,2,20,2,Duits,4,6,4,6
24,H,2,2,18,1, ,6,3,2,3
27,H,2,1,19,1, ,5,4,5,2
29,H,2,2,18,1, ,6,5,4,4
31,H,2,2,19,1, ,3,3,1,1
33,H,2,1,22,2,Turks,2,2,5,1
