subject;trial;setSize;setSize.f;target;error;sdt;rTime
1;1;18;18;Present;No;H;1161
1;2;12;12;Present;No;H;3652
1;3;3;3;Absent;No;CR;621
1;4;3;3;Absent;No;CR;509
1;5;3;3;Absent;No;CR;442
1;6;3;3;Present;No;H;408
1;7;18;18;Absent;No;CR;1066
1;8;3;3;Present;No;H;431
1;9;6;6;Absent;No;CR;628
1;10;3;3;Absent;No;CR;486
1;11;18;18;Present;No;H;718
1;12;6;6;Absent;No;CR;604
1;13;6;6;Absent;No;CR;481
1;14;3;3;Present;No;H;419
1;15;3;3;Present;No;H;441
1;16;6;6;Absent;Yes;FA;469
1;17;3;3;Absent;No;CR;676
1;18;18;18;Present;No;H;448
1;19;6;6;Present;No;H;353
1;20;6;6;Present;No;H;581
1;21;6;6;Present;No;H;403
1;22;12;12;Absent;No;CR;715
1;23;3;3;Absent;No;CR;676
1;24;18;18;Present;No;H;558
1;25;6;6;Absent;No;CR;849
1;26;6;6;Absent;No;CR;659
1;27;18;18;Absent;No;CR;490
1;28;3;3;Absent;No;CR;407
1;29;12;12;Present;No;H;456
1;30;6;6;Present;No;H;468
1;31;12;12;Absent;No;CR;590
1;32;12;12;Present;No;H;568
1;33;3;3;Absent;No;CR;654
1;34;18;18;Absent;No;CR;645
1;35;18;18;Absent;No;CR;577
1;36;3;3;Present;No;H;496
1;37;18;18;Absent;No;CR;745
1;38;6;6;Present;No;H;658
1;39;12;12;Absent;No;CR;533
1;40;6;6;Present;No;H;433
1;41;3;3;Present;No;H;451
1;42;18;18;Present;No;H;507
1;43;18;18;Absent;No;CR;497
1;44;12;12;Absent;Yes;FA;555
1;45;18;18;Present;No;H;643
1;46;6;6;Present;No;H;512
1;47;18;18;Present;No;H;731
1;48;12;12;Present;No;H;397
1;49;6;6;Absent;No;CR;590
1;50;18;18;Absent;No;CR;564
1;51;3;3;Present;No;H;562
1;52;3;3;Absent;No;CR;539
1;53;18;18;Present;No;H;361
1;54;18;18;Present;No;H;641
1;55;6;6;Present;No;H;511
1;56;12;12;Absent;No;CR;643
1;57;12;12;Present;No;H;430
1;58;3;3;Present;No;H;451
1;59;3;3;Absent;No;CR;539
1;60;6;6;Absent;No;CR;757
1;61;3;3;Absent;No;CR;549
1;62;12;12;Present;No;H;520
1;63;12;12;Present;No;H;475
1;64;12;12;Absent;No;CR;621
1;65;3;3;Present;No;H;518
1;66;6;6;Absent;No;CR;836
1;67;12;12;Present;No;H;476
1;68;18;18;Absent;No;CR;574
1;69;3;3;Present;No;H;517
1;70;3;3;Present;No;H;484
1;71;12;12;Present;No;H;565
1;72;6;6;Present;No;H;488
1;73;6;6;Present;No;H;421
1;74;6;6;Absent;No;CR;634
1;75;12;12;Absent;No;CR;621
1;76;6;6;Present;No;H;500
1;77;12;12;Present;No;H;934
1;78;12;12;Present;No;H;496
1;79;6;6;Absent;No;CR;500
1;80;12;12;Present;No;H;453
1;81;3;3;Absent;No;CR;472
1;82;3;3;Present;No;H;484
1;83;18;18;Absent;No;CR;764
1;84;18;18;Absent;No;CR;708
1;85;18;18;Absent;No;CR;573
1;86;3;3;Absent;No;CR;451
1;87;3;3;Absent;No;CR;416
1;88;6;6;Present;Yes;M;489
1;89;18;18;Present;No;H;742
1;90;12;12;Absent;No;CR;834
1;91;12;12;Present;No;H;453
1;92;12;12;Present;No;H;465
1;93;18;18;Absent;No;CR;683
1;94;18;18;Present;No;H;563
1;95;6;6;Absent;No;CR;522
1;96;3;3;Present;No;H;507
1;97;18;18;Present;No;H;731
1;98;3;3;Absent;No;CR;618
1;99;3;3;Absent;No;CR;573
1;100;12;12;Absent;No;CR;598
1;101;18;18;Present;Yes;M;675
1;102;12;12;Present;No;H;632
1;103;6;6;Absent;No;CR;634
1;104;6;6;Present;No;H;422
1;105;3;3;Present;No;H;484
1;106;18;18;Present;No;H;461
1;107;3;3;Absent;No;CR;686
1;108;12;12;Present;No;H;476
1;109;3;3;Present;No;H;439
1;110;18;18;Absent;No;CR;887
1;111;6;6;Absent;No;CR;600
1;112;6;6;Present;No;H;589
1;113;3;3;Present;No;H;474
1;114;6;6;Present;No;H;444
1;115;3;3;Present;No;H;383
1;116;18;18;Present;No;H;530
1;117;18;18;Present;No;H;652
1;118;3;3;Absent;No;CR;473
1;119;3;3;Present;No;H;472
1;120;18;18;Absent;No;CR;630
1;121;18;18;Absent;No;CR;775
1;122;18;18;Present;No;H;496
1;123;3;3;Present;No;H;427
1;124;6;6;Absent;No;CR;679
1;125;18;18;Present;No;H;720
1;126;3;3;Present;No;H;383
1;127;6;6;Absent;No;CR;623
1;128;18;18;Absent;No;CR;809
1;129;3;3;Present;No;H;496
1;130;6;6;Present;No;H;399
1;131;12;12;Absent;No;CR;554
1;132;12;12;Absent;No;CR;732
1;133;12;12;Present;No;H;631
1;134;18;18;Present;No;H;563
1;135;12;12;Absent;No;CR;722
1;136;12;12;Present;No;H;453
1;137;6;6;Absent;No;CR;601
1;138;3;3;Absent;No;CR;482
1;139;6;6;Absent;No;CR;488
1;140;3;3;Absent;No;CR;551
1;141;18;18;Absent;No;CR;630
1;142;18;18;Absent;No;CR;721
1;143;6;6;Present;No;H;388
1;144;3;3;Absent;No;CR;741
1;145;3;3;Absent;No;CR;528
1;146;12;12;Present;No;H;453
1;147;18;18;Absent;No;CR;821
1;148;12;12;Absent;No;CR;644
1;149;3;3;Present;No;H;416
1;150;6;6;Present;No;H;613
1;151;6;6;Absent;No;CR;713
1;152;12;12;Present;No;H;1136
1;153;6;6;Present;No;H;489
1;154;18;18;Absent;No;CR;720
1;155;12;12;Absent;No;CR;553
1;156;12;12;Absent;No;CR;890
1;157;18;18;Absent;No;CR;786
1;158;12;12;Present;No;H;542
1;159;12;12;Present;No;H;476
1;160;6;6;Present;No;H;522
1;161;3;3;Present;No;H;449
1;162;18;18;Present;No;H;574
1;163;12;12;Absent;No;CR;688
1;164;12;12;Present;No;H;666
1;165;6;6;Present;No;H;511
1;166;18;18;Present;No;H;720
1;167;12;12;Present;No;H;431
1;168;12;12;Absent;No;CR;587
1;169;12;12;Absent;No;CR;756
1;170;12;12;Present;Yes;M;665
1;171;6;6;Present;No;H;466
1;172;18;18;Present;No;H;686
1;173;6;6;Absent;No;CR;522
1;174;3;3;Present;No;H;382
1;175;18;18;Absent;No;CR;865
1;176;6;6;Present;No;H;466
1;177;6;6;Absent;No;CR;544
1;178;6;6;Present;No;H;478
1;179;3;3;Present;No;H;417
1;180;3;3;Present;No;H;451
1;181;12;12;Absent;No;CR;810
