x	y
-0.293	2.499
-0.225	1.332
-0.191	1.503
-0.164	1.503
-0.117	2.000
-0.102	2.502
-0.100	3.499
-0.088	2.836
-0.082	2.836
-0.080	3.830
-0.060	1.000
-0.059	2.500
-0.054	1.502
-0.053	2.832
-0.050	2.663
-0.046	2.166
-0.045	2.001
-0.044	2.832
-0.032	3.999
-0.031	3.331
-0.030	2.499
-0.029	2.331
-0.029	2.164
-0.028	3.163
-0.026	1.332
-0.020	0.998
-0.018	2.169
-0.012	2.502
-0.011	1.500
-0.010	3.334
-0.008	3.666
-0.007	2.668
-0.003	2.501
-0.002	3.666
-0.002	2.332
0.004	2.332
0.005	0.998
0.006	2.834
0.009	3.168
0.011	3.334
0.011	3.502
0.014	0.999
0.015	3.003
0.018	3.169
0.023	3.501
0.033	2.336
0.049	3.167
0.049	1.335
0.056	3.333
0.071	3.998
0.074	2.334
0.080	2.003
0.090	1.669
0.128	3.998
0.129	3.834
0.148	3.332
0.149	3.669
